Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Population growth (annual %),SP.POP.GROW,China,CHN,2.76167556645304,2.74691554961857,2.45735692952286,2.28339536396383,2.06595501335632,1.76639178162482,1.54733797287665,1.36277947570678,1.33818233834084,1.33392795351687,1.25422105193987,1.28095234429252,1.47267476016581,1.4449496950092,1.31206876113779,1.36169911825369,1.48739892914903,1.6036050865576,1.61007108578698,1.53316999599862,1.46730321087928,1.36443400840349,1.2255362283362,1.14961943083465,1.13026063215591,1.08650915088974,1.04814151412165,1.02345002419879,0.959550406298151,0.865851392993279,0.787956592953992,0.726380637838525,0.669999567758626,0.622860936133583,0.593932815112141,0.588124989556992,0.558374367373002,0.522271866392275,0.51238693163744,0.497381400884935,0.482959688678361,0.546457594880274,0.678345458846803,0.666072977690069,0.630326389541893,0.581456146657648,0.573050906069647,0.605245013482969,0.467672053461959,0.354740890170827,0.238040870229883,0.0892522000412526,-0.0130995013525784,-0.103794531589067
Population growth (annual %),SP.POP.GROW,Cote d'Ivoire,CIV,4.13771557355301,4.32704619605154,4.47886144405413,4.55201755223105,4.56850082736934,4.56278276441697,4.07249869830984,3.6720911398285,3.76833186744558,3.85896757186992,3.95073862771663,4.00453809033992,4.02401173029707,4.01367795897404,3.99320410180932,3.96138352522369,3.9107193170073,3.85686016010409,3.83036325504084,3.86725967111319,3.93204869696274,3.97333758123589,3.99092066742327,3.97762421552749,3.93475451975512,3.90104410052876,3.87367317960594,3.84212357223658,3.7715073412938,3.25878249601035,2.76729583954346,2.67539291726228,2.58396350857445,2.49227881118865,2.42497124712807,2.38748971138117,2.35559796287643,2.3271214491968,2.27477682329573,2.22245214914258,2.20359114199838,2.17265768049368,2.08872019159152,1.99427988380631,2.42493545476417,2.88906178023194,2.90076810314127,2.82237176165589,2.69696827034562,2.61916841176218,2.53019803537112,2.47398737434864,2.51622934953513,2.50384681190665
Population growth (annual %),SP.POP.GROW,Finland,FIN,-0.378718237915962,0.126203705860136,0.595195266324646,0.567909197939041,0.523542995771684,0.443863075666863,0.30144863871956,0.279738313043981,0.287122369568676,0.25557902782611,0.311078415926419,0.426515644912231,0.560285843941572,0.595991320809624,0.534342930873442,0.41706890447956,0.324794895907026,0.283626731803862,0.290689051012441,0.361018799003539,0.443382073914297,0.546172018187903,0.561909850746084,0.483854088858285,0.431048902829755,0.381655333457214,0.328037913627481,0.297377330426395,0.265472962436301,0.232116249119004,0.2076065154133,0.227687341886374,0.242381050233372,0.238457240068217,0.290350361518584,0.342248594286999,0.383777136305104,0.425429832100631,0.465549284507694,0.478246393482911,0.457494535465831,0.463558707499131,0.475809486683209,0.460723772785295,0.413560207519414,0.329383885818507,0.287421401687637,0.234670531705453,0.132641040791912,0.110191690491055,0.143641197212847,0.207288594407348,0.271944526506117,0.499192375381062
Population growth (annual %),SP.POP.GROW,Pakistan,PAK,2.87605370916423,2.75587700704686,2.76710611631107,2.91192871794029,2.94062916480139,2.98931944120814,3.06099476757709,3.13596391872731,3.20320937214696,3.46407267837998,4.08514964566703,4.17810201190455,3.75957440174228,3.46220072057645,3.13509160725294,3.1692834201536,3.38057189066263,3.40943919604165,3.36148582370259,3.26806216038551,3.34304854189447,3.30645345087216,2.86254207102062,2.7725055318492,2.89269657804833,2.89031173222832,2.9106898704011,2.82827034753681,2.76128567260809,2.7219371038823,2.82475983542412,2.79615830892104,2.45080308981688,2.35391613887513,2.4680911760913,2.40377350441569,2.3820052866049,2.6420312522935,2.67715693120755,2.5412831091032,2.47081701538021,2.23690940334662,1.90619981284679,1.62722414834854,1.50032405388564,1.40250113589189,1.30216393815952,1.41409990353131,1.62371483290292,1.69187124669657,1.80375141301202,1.8867779716011,1.74799739792983,1.54880458608849
Population growth (annual %),SP.POP.GROW,Zambia,ZMB,2.92553856262887,2.75699001074402,2.81390814797676,2.87733333771679,2.93465918654467,2.99712288686215,3.03471269831588,3.03743645768228,3.02579191416923,2.99837674494052,2.99299243412746,3.06241701917685,3.21272802150477,3.22330830648932,3.07784306018052,3.0008441896861,2.98579121207901,2.88938943703434,2.74531148561589,2.64057183708488,2.56206623134577,2.47962024274958,2.41410432516202,2.38360333328893,2.38767368508148,2.41336000162319,2.45422388426954,2.55491686835174,2.62143144676206,2.68033385502673,2.8105009556372,3.02394158044151,3.07812350873629,3.10355045228564,3.17745831747123,3.30186320062968,3.44488603404196,3.52770643018252,3.56663855229215,3.53891846603377,3.46192274224024,3.32527568350911,3.24260026203654,3.20268845716982,3.17220342906789,3.12013727876838,3.09409054089327,3.06754137743233,3.0060186177754,2.96162166175699,2.9041649369132,2.81534240626742,2.76365042984169,2.79406758723844
Population growth (annual %),SP.POP.GROW,"Venezuela, RB",VEN,3.09913259359461,3.05459422386915,3.00500106904498,2.96696597438552,2.9395819591844,2.9216883785441,2.911170001683,2.90120378571083,2.88423643148571,2.85729074115345,2.81591887200814,2.77330334164225,2.73257068541178,2.69463088437118,2.66099754289596,2.62614099270944,2.61200318869266,2.59621676285258,2.5550534835076,2.50092436734704,2.44084938719203,2.38168897149485,2.31745661857209,2.25329732143847,2.19027461047796,2.13415920641198,2.08805824636671,2.05088234370289,2.01000402655574,1.95213333149154,1.89379499634952,1.83097359469052,1.80801767033013,1.78086326604433,1.71593189812023,1.67515351433713,1.62520895526481,1.54785544927575,1.45176982660994,1.36163698615317,1.30934216855774,1.28319630933634,1.25510683013417,1.20531461336652,1.13646612916995,1.0518040406043,0.62520243689416,-0.653495206896492,-2.51030049026678,-2.96041293052007,-1.72190477685565,-0.727752243229035,-0.087895947265923,0.310851368612458
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
